OBJECTID,Summary Level,Geographic Code Identifier,Geographic Record Identifier,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Area Base Name,File Identification,State/US-Abbreviation (USPS),Characteristic Iteration,Characteristic Iteration File Sequence Number,Logical Record Number,Total Pop,Institutionalized population,Correctional facilities for adults,Juvenile facilities,Nursing facilities/Skilled-nursing facilities,Other institutional facilities,Noninstitutionalized population,College/University student housing,Military quarters,Other noninstitutional facilities
296,150,530330072013,1500000US530330072013,Block Group 3,3,PLST,WA,000,03,3388,0,0,0,0,0,0,0,0,0,0
297,150,530330072021,1500000US530330072021,Block Group 1,1,PLST,WA,000,03,3389,0,0,0,0,0,0,0,0,0,0
298,150,530330072022,1500000US530330072022,Block Group 2,2,PLST,WA,000,03,3390,52,0,0,0,0,0,52,0,0,52
299,150,530330072023,1500000US530330072023,Block Group 3,3,PLST,WA,000,03,3391,101,0,0,0,0,0,101,0,0,101
300,150,530330072031,1500000US530330072031,Block Group 1,1,PLST,WA,000,03,3392,55,0,0,0,0,0,55,0,0,55
301,150,530330072032,1500000US530330072032,Block Group 2,2,PLST,WA,000,03,3393,47,0,0,0,0,0,47,0,0,47
302,150,530330073011,1500000US530330073011,Block Group 1,1,PLST,WA,000,03,3394,0,0,0,0,0,0,0,0,0,0
303,150,530330073012,1500000US530330073012,Block Group 2,2,PLST,WA,000,03,3395,111,0,0,0,0,0,111,0,0,111
304,150,530330073013,1500000US530330073013,Block Group 3,3,PLST,WA,000,03,3396,0,0,0,0,0,0,0,0,0,0
305,150,530330073021,1500000US530330073021,Block Group 1,1,PLST,WA,000,03,3397,13,0,0,0,0,0,13,0,0,13
306,150,530330073022,1500000US530330073022,Block Group 2,2,PLST,WA,000,03,3398,110,0,0,0,0,0,110,0,0,110
307,150,530330073023,1500000US530330073023,Block Group 3,3,PLST,WA,000,03,3399,264,0,0,0,0,0,264,264,0,0
308,150,530330073031,1500000US530330073031,Block Group 1,1,PLST,WA,000,03,3400,0,0,0,0,0,0,0,0,0,0
309,150,530330073032,1500000US530330073032,Block Group 2,2,PLST,WA,000,03,3401,365,337,0,0,337,0,28,0,0,28
310,150,530330073033,1500000US530330073033,Block Group 3,3,PLST,WA,000,03,3402,0,0,0,0,0,0,0,0,0,0
311,150,530330074031,1500000US530330074031,Block Group 1,1,PLST,WA,000,03,3403,0,0,0,0,0,0,0,0,0,0
312,150,530330074032,1500000US530330074032,Block Group 2,2,PLST,WA,000,03,3404,0,0,0,0,0,0,0,0,0,0
313,150,530330074041,1500000US530330074041,Block Group 1,1,PLST,WA,000,03,3405,0,0,0,0,0,0,0,0,0,0
314,150,530330074042,1500000US530330074042,Block Group 2,2,PLST,WA,000,03,3406,0,0,0,0,0,0,0,0,0,0
315,150,530330074051,1500000US530330074051,Block Group 1,1,PLST,WA,000,03,3407,0,0,0,0,0,0,0,0,0,0
316,150,530330074052,1500000US530330074052,Block Group 2,2,PLST,WA,000,03,3408,0,0,0,0,0,0,0,0,0,0
317,150,530330074061,1500000US530330074061,Block Group 1,1,PLST,WA,000,03,3409,0,0,0,0,0,0,0,0,0,0
318,150,530330074062,1500000US530330074062,Block Group 2,2,PLST,WA,000,03,3410,16,0,0,0,0,0,16,0,0,16
319,150,530330075011,1500000US530330075011,Block Group 1,1,PLST,WA,000,03,3411,0,0,0,0,0,0,0,0,0,0
320,150,530330075012,1500000US530330075012,Block Group 2,2,PLST,WA,000,03,3412,8,0,0,0,0,0,8,0,0,8
321,150,530330075013,1500000US530330075013,Block Group 3,3,PLST,WA,000,03,3413,0,0,0,0,0,0,0,0,0,0
322,150,530330075021,1500000US530330075021,Block Group 1,1,PLST,WA,000,03,3414,0,0,0,0,0,0,0,0,0,0
323,150,530330075022,1500000US530330075022,Block Group 2,2,PLST,WA,000,03,3415,0,0,0,0,0,0,0,0,0,0
324,150,530330075023,1500000US530330075023,Block Group 3,3,PLST,WA,000,03,3416,113,0,0,0,0,0,113,0,0,113
325,150,530330075031,1500000US530330075031,Block Group 1,1,PLST,WA,000,03,3417,0,0,0,0,0,0,0,0,0,0
326,150,530330075032,1500000US530330075032,Block Group 2,2,PLST,WA,000,03,3418,5,0,0,0,0,0,5,0,0,5
327,150,530330076001,1500000US530330076001,Block Group 1,1,PLST,WA,000,03,3419,14,0,0,0,0,0,14,0,0,14
328,150,530330076002,1500000US530330076002,Block Group 2,2,PLST,WA,000,03,3420,96,96,12,0,84,0,0,0,0,0
329,150,530330076003,1500000US530330076003,Block Group 3,3,PLST,WA,000,03,3421,6,0,0,0,0,0,6,0,0,6
330,150,530330077001,1500000US530330077001,Block Group 1,1,PLST,WA,000,03,3422,0,0,0,0,0,0,0,0,0,0
331,150,530330077002,1500000US530330077002,Block Group 2,2,PLST,WA,000,03,3423,50,45,0,0,45,0,5,0,0,5
332,150,530330077003,1500000US530330077003,Block Group 3,3,PLST,WA,000,03,3424,0,0,0,0,0,0,0,0,0,0
333,150,530330077004,1500000US530330077004,Block Group 4,4,PLST,WA,000,03,3425,0,0,0,0,0,0,0,0,0,0
334,150,530330078001,1500000US530330078001,Block Group 1,1,PLST,WA,000,03,3426,0,0,0,0,0,0,0,0,0,0
335,150,530330078002,1500000US530330078002,Block Group 2,2,PLST,WA,000,03,3427,0,0,0,0,0,0,0,0,0,0
336,150,530330078003,1500000US530330078003,Block Group 3,3,PLST,WA,000,03,3428,0,0,0,0,0,0,0,0,0,0
337,150,530330078004,1500000US530330078004,Block Group 4,4,PLST,WA,000,03,3429,0,0,0,0,0,0,0,0,0,0
338,150,530330079011,1500000US530330079011,Block Group 1,1,PLST,WA,000,03,3430,30,0,0,0,0,0,30,0,0,30
339,150,530330079012,1500000US530330079012,Block Group 2,2,PLST,WA,000,03,3431,51,0,0,0,0,0,51,0,0,51
340,150,530330079021,1500000US530330079021,Block Group 1,1,PLST,WA,000,03,3432,0,0,0,0,0,0,0,0,0,0
341,150,530330079022,1500000US530330079022,Block Group 2,2,PLST,WA,000,03,3433,10,0,0,0,0,0,10,0,0,10
342,150,530330079023,1500000US530330079023,Block Group 3,3,PLST,WA,000,03,3434,0,0,0,0,0,0,0,0,0,0
343,150,530330080021,1500000US530330080021,Block Group 1,1,PLST,WA,000,03,3435,248,0,0,0,0,0,248,0,0,248
344,150,530330080022,1500000US530330080022,Block Group 2,2,PLST,WA,000,03,3436,0,0,0,0,0,0,0,0,0,0
345,150,530330080023,1500000US530330080023,Block Group 3,3,PLST,WA,000,03,3437,68,0,0,0,0,0,68,0,0,68
346,150,530330080031,1500000US530330080031,Block Group 1,1,PLST,WA,000,03,3438,101,0,0,0,0,0,101,0,0,101
347,150,530330080032,1500000US530330080032,Block Group 2,2,PLST,WA,000,03,3439,7,0,0,0,0,0,7,0,0,7
348,150,530330080033,1500000US530330080033,Block Group 3,3,PLST,WA,000,03,3440,0,0,0,0,0,0,0,0,0,0
349,150,530330080041,1500000US530330080041,Block Group 1,1,PLST,WA,000,03,3441,0,0,0,0,0,0,0,0,0,0
350,150,530330080042,1500000US530330080042,Block Group 2,2,PLST,WA,000,03,3442,0,0,0,0,0,0,0,0,0,0
351,150,530330080043,1500000US530330080043,Block Group 3,3,PLST,WA,000,03,3443,0,0,0,0,0,0,0,0,0,0
352,150,530330081011,1500000US530330081011,Block Group 1,1,PLST,WA,000,03,3444,23,0,0,0,0,0,23,0,0,23
353,150,530330081012,1500000US530330081012,Block Group 2,2,PLST,WA,000,03,3445,0,0,0,0,0,0,0,0,0,0
354,150,530330081013,1500000US530330081013,Block Group 3,3,PLST,WA,000,03,3446,28,19,19,0,0,0,9,0,0,9
355,150,530330081021,1500000US530330081021,Block Group 1,1,PLST,WA,000,03,3447,4,0,0,0,0,0,4,0,0,4
356,150,530330081022,1500000US530330081022,Block Group 2,2,PLST,WA,000,03,3448,639,87,87,0,0,0,552,0,0,552
357,150,530330082001,1500000US530330082001,Block Group 1,1,PLST,WA,000,03,3449,13,0,0,0,0,0,13,0,0,13
358,150,530330082002,1500000US530330082002,Block Group 2,2,PLST,WA,000,03,3450,42,0,0,0,0,0,42,0,0,42
359,150,530330082003,1500000US530330082003,Block Group 3,3,PLST,WA,000,03,3451,520,519,0,0,519,0,1,0,0,1
360,150,530330083001,1500000US530330083001,Block Group 1,1,PLST,WA,000,03,3452,0,0,0,0,0,0,0,0,0,0
361,150,530330083002,1500000US530330083002,Block Group 2,2,PLST,WA,000,03,3453,184,85,0,0,85,0,99,0,0,99
362,150,530330084011,1500000US530330084011,Block Group 1,1,PLST,WA,000,03,3454,0,0,0,0,0,0,0,0,0,0
363,150,530330084012,1500000US530330084012,Block Group 2,2,PLST,WA,000,03,3455,0,0,0,0,0,0,0,0,0,0
364,150,530330084013,1500000US530330084013,Block Group 3,3,PLST,WA,000,03,3456,0,0,0,0,0,0,0,0,0,0
365,150,530330084021,1500000US530330084021,Block Group 1,1,PLST,WA,000,03,3457,0,0,0,0,0,0,0,0,0,0
366,150,530330084022,1500000US530330084022,Block Group 2,2,PLST,WA,000,03,3458,0,0,0,0,0,0,0,0,0,0
367,150,530330084023,1500000US530330084023,Block Group 3,3,PLST,WA,000,03,3459,64,0,0,0,0,0,64,64,0,0
368,150,530330085001,1500000US530330085001,Block Group 1,1,PLST,WA,000,03,3460,261,154,84,0,70,0,107,0,0,107
369,150,530330085002,1500000US530330085002,Block Group 2,2,PLST,WA,000,03,3461,87,0,0,0,0,0,87,0,0,87
370,150,530330085003,1500000US530330085003,Block Group 3,3,PLST,WA,000,03,3462,821,776,743,0,33,0,45,0,0,45
371,150,530330086001,1500000US530330086001,Block Group 1,1,PLST,WA,000,03,3463,365,0,0,0,0,0,365,346,0,19
372,150,530330086002,1500000US530330086002,Block Group 2,2,PLST,WA,000,03,3464,61,55,25,30,0,0,6,0,0,6
373,150,530330086003,1500000US530330086003,Block Group 3,3,PLST,WA,000,03,3465,2046,0,0,0,0,0,2046,2029,0,17
374,150,530330086004,1500000US530330086004,Block Group 4,4,PLST,WA,000,03,3466,68,0,0,0,0,0,68,0,0,68
375,150,530330087001,1500000US530330087001,Block Group 1,1,PLST,WA,000,03,3467,0,0,0,0,0,0,0,0,0,0
376,150,530330087002,1500000US530330087002,Block Group 2,2,PLST,WA,000,03,3468,0,0,0,0,0,0,0,0,0,0
377,150,530330087003,1500000US530330087003,Block Group 3,3,PLST,WA,000,03,3469,24,0,0,0,0,0,24,0,0,24
378,150,530330088001,1500000US530330088001,Block Group 1,1,PLST,WA,000,03,3470,0,0,0,0,0,0,0,0,0,0
379,150,530330088002,1500000US530330088002,Block Group 2,2,PLST,WA,000,03,3471,0,0,0,0,0,0,0,0,0,0
380,150,530330088003,1500000US530330088003,Block Group 3,3,PLST,WA,000,03,3472,27,0,0,0,0,0,27,0,0,27
381,150,530330089001,1500000US530330089001,Block Group 1,1,PLST,WA,000,03,3473,0,0,0,0,0,0,0,0,0,0
382,150,530330089002,1500000US530330089002,Block Group 2,2,PLST,WA,000,03,3474,0,0,0,0,0,0,0,0,0,0
383,150,530330089003,1500000US530330089003,Block Group 3,3,PLST,WA,000,03,3475,145,120,0,120,0,0,25,0,0,25
384,150,530330089004,1500000US530330089004,Block Group 4,4,PLST,WA,000,03,3476,0,0,0,0,0,0,0,0,0,0
385,150,530330090001,1500000US530330090001,Block Group 1,1,PLST,WA,000,03,3477,193,0,0,0,0,0,193,0,0,193
386,150,530330090002,1500000US530330090002,Block Group 2,2,PLST,WA,000,03,3478,0,0,0,0,0,0,0,0,0,0
387,150,530330090003,1500000US530330090003,Block Group 3,3,PLST,WA,000,03,3479,0,0,0,0,0,0,0,0,0,0
388,150,530330091001,1500000US530330091001,Block Group 1,1,PLST,WA,000,03,3480,72,72,0,0,72,0,0,0,0,0
389,150,530330091002,1500000US530330091002,Block Group 2,2,PLST,WA,000,03,3481,0,0,0,0,0,0,0,0,0,0
390,150,530330092001,1500000US530330092001,Block Group 1,1,PLST,WA,000,03,3482,0,0,0,0,0,0,0,0,0,0
391,150,530330092002,1500000US530330092002,Block Group 2,2,PLST,WA,000,03,3483,699,0,0,0,0,0,699,0,0,699
392,150,530330093001,1500000US530330093001,Block Group 1,1,PLST,WA,000,03,3484,187,0,0,0,0,0,187,0,0,187
393,150,530330093002,1500000US530330093002,Block Group 2,2,PLST,WA,000,03,3485,342,0,0,0,0,0,342,0,204,138
394,150,530330093003,1500000US530330093003,Block Group 3,3,PLST,WA,000,03,3486,147,0,0,0,0,0,147,0,0,147
395,150,530330094001,1500000US530330094001,Block Group 1,1,PLST,WA,000,03,3487,56,0,0,0,0,0,56,0,0,56
396,150,530330094002,1500000US530330094002,Block Group 2,2,PLST,WA,000,03,3488,67,0,0,0,0,0,67,0,0,67
397,150,530330094003,1500000US530330094003,Block Group 3,3,PLST,WA,000,03,3489,8,0,0,0,0,0,8,0,0,8
398,150,530330094004,1500000US530330094004,Block Group 4,4,PLST,WA,000,03,3490,36,0,0,0,0,0,36,0,0,36
399,150,530330094005,1500000US530330094005,Block Group 5,5,PLST,WA,000,03,3491,51,43,43,0,0,0,8,0,0,8
400,150,530330095001,1500000US530330095001,Block Group 1,1,PLST,WA,000,03,3492,0,0,0,0,0,0,0,0,0,0
401,150,530330095002,1500000US530330095002,Block Group 2,2,PLST,WA,000,03,3493,28,0,0,0,0,0,28,0,0,28
402,150,530330095003,1500000US530330095003,Block Group 3,3,PLST,WA,000,03,3494,0,0,0,0,0,0,0,0,0,0
403,150,530330095004,1500000US530330095004,Block Group 4,4,PLST,WA,000,03,3495,0,0,0,0,0,0,0,0,0,0
404,150,530330096001,1500000US530330096001,Block Group 1,1,PLST,WA,000,03,3496,71,63,0,0,63,0,8,0,0,8
405,150,530330096002,1500000US530330096002,Block Group 2,2,PLST,WA,000,03,3497,0,0,0,0,0,0,0,0,0,0
406,150,530330096003,1500000US530330096003,Block Group 3,3,PLST,WA,000,03,3498,0,0,0,0,0,0,0,0,0,0
407,150,530330096004,1500000US530330096004,Block Group 4,4,PLST,WA,000,03,3499,86,86,0,0,86,0,0,0,0,0
408,150,530330097011,1500000US530330097011,Block Group 1,1,PLST,WA,000,03,3500,0,0,0,0,0,0,0,0,0,0
409,150,530330097012,1500000US530330097012,Block Group 2,2,PLST,WA,000,03,3501,17,0,0,0,0,0,17,0,0,17
410,150,530330097013,1500000US530330097013,Block Group 3,3,PLST,WA,000,03,3502,0,0,0,0,0,0,0,0,0,0
411,150,530330097014,1500000US530330097014,Block Group 4,4,PLST,WA,000,03,3503,8,0,0,0,0,0,8,0,0,8
412,150,530330097021,1500000US530330097021,Block Group 1,1,PLST,WA,000,03,3504,137,64,0,0,64,0,73,0,0,73
413,150,530330097022,1500000US530330097022,Block Group 2,2,PLST,WA,000,03,3505,0,0,0,0,0,0,0,0,0,0
414,150,530330097023,1500000US530330097023,Block Group 3,3,PLST,WA,000,03,3506,6,0,0,0,0,0,6,0,0,6
415,150,530330097024,1500000US530330097024,Block Group 4,4,PLST,WA,000,03,3507,9,0,0,0,0,0,9,0,0,9
416,150,530330098011,1500000US530330098011,Block Group 1,1,PLST,WA,000,03,3508,0,0,0,0,0,0,0,0,0,0
417,150,530330098012,1500000US530330098012,Block Group 2,2,PLST,WA,000,03,3509,6,0,0,0,0,0,6,0,0,6
418,150,530330098013,1500000US530330098013,Block Group 3,3,PLST,WA,000,03,3510,0,0,0,0,0,0,0,0,0,0
419,150,530330098021,1500000US530330098021,Block Group 1,1,PLST,WA,000,03,3511,0,0,0,0,0,0,0,0,0,0
420,150,530330098022,1500000US530330098022,Block Group 2,2,PLST,WA,000,03,3512,0,0,0,0,0,0,0,0,0,0
421,150,530330098023,1500000US530330098023,Block Group 3,3,PLST,WA,000,03,3513,0,0,0,0,0,0,0,0,0,0
422,150,530330099001,1500000US530330099001,Block Group 1,1,PLST,WA,000,03,3514,12,0,0,0,0,0,12,0,0,12
423,150,530330099002,1500000US530330099002,Block Group 2,2,PLST,WA,000,03,3515,0,0,0,0,0,0,0,0,0,0
424,150,530330099003,1500000US530330099003,Block Group 3,3,PLST,WA,000,03,3516,0,0,0,0,0,0,0,0,0,0
425,150,530330099004,1500000US530330099004,Block Group 4,4,PLST,WA,000,03,3517,40,0,0,0,0,0,40,0,0,40
426,150,530330100011,1500000US530330100011,Block Group 1,1,PLST,WA,000,03,3518,92,0,0,0,0,0,92,0,0,92
427,150,530330100012,1500000US530330100012,Block Group 2,2,PLST,WA,000,03,3519,176,143,0,0,33,110,33,0,0,33
428,150,530330100013,1500000US530330100013,Block Group 3,3,PLST,WA,000,03,3520,19,0,0,0,0,0,19,0,0,19
429,150,530330100021,1500000US530330100021,Block Group 1,1,PLST,WA,000,03,3521,0,0,0,0,0,0,0,0,0,0
430,150,530330100022,1500000US530330100022,Block Group 2,2,PLST,WA,000,03,3522,11,0,0,0,0,0,11,0,0,11
431,150,530330100023,1500000US530330100023,Block Group 3,3,PLST,WA,000,03,3523,11,0,0,0,0,0,11,0,0,11
432,150,530330101011,1500000US530330101011,Block Group 1,1,PLST,WA,000,03,3524,186,118,0,0,118,0,68,0,0,68
433,150,530330101012,1500000US530330101012,Block Group 2,2,PLST,WA,000,03,3525,0,0,0,0,0,0,0,0,0,0
434,150,530330101013,1500000US530330101013,Block Group 3,3,PLST,WA,000,03,3526,0,0,0,0,0,0,0,0,0,0
435,150,530330101021,1500000US530330101021,Block Group 1,1,PLST,WA,000,03,3527,0,0,0,0,0,0,0,0,0,0
436,150,530330101022,1500000US530330101022,Block Group 2,2,PLST,WA,000,03,3528,0,0,0,0,0,0,0,0,0,0
437,150,530330101023,1500000US530330101023,Block Group 3,3,PLST,WA,000,03,3529,0,0,0,0,0,0,0,0,0,0
438,150,530330102001,1500000US530330102001,Block Group 1,1,PLST,WA,000,03,3530,0,0,0,0,0,0,0,0,0,0
439,150,530330102002,1500000US530330102002,Block Group 2,2,PLST,WA,000,03,3531,0,0,0,0,0,0,0,0,0,0
440,150,530330102003,1500000US530330102003,Block Group 3,3,PLST,WA,000,03,3532,0,0,0,0,0,0,0,0,0,0
441,150,530330102004,1500000US530330102004,Block Group 4,4,PLST,WA,000,03,3533,0,0,0,0,0,0,0,0,0,0
442,150,530330103011,1500000US530330103011,Block Group 1,1,PLST,WA,000,03,3534,118,102,0,0,102,0,16,0,0,16
443,150,530330103012,1500000US530330103012,Block Group 2,2,PLST,WA,000,03,3535,4,0,0,0,0,0,4,0,0,4
444,150,530330103013,1500000US530330103013,Block Group 3,3,PLST,WA,000,03,3536,5,0,0,0,0,0,5,0,0,5
445,150,530330103021,1500000US530330103021,Block Group 1,1,PLST,WA,000,03,3537,0,0,0,0,0,0,0,0,0,0
446,150,530330103022,1500000US530330103022,Block Group 2,2,PLST,WA,000,03,3538,24,0,0,0,0,0,24,0,0,24
447,150,530330103023,1500000US530330103023,Block Group 3,3,PLST,WA,000,03,3539,40,0,0,0,0,0,40,0,0,40
448,150,530330104011,1500000US530330104011,Block Group 1,1,PLST,WA,000,03,3540,0,0,0,0,0,0,0,0,0,0
449,150,530330104012,1500000US530330104012,Block Group 2,2,PLST,WA,000,03,3541,24,0,0,0,0,0,24,0,0,24
450,150,530330104013,1500000US530330104013,Block Group 3,3,PLST,WA,000,03,3542,27,0,0,0,0,0,27,0,0,27
451,150,530330104021,1500000US530330104021,Block Group 1,1,PLST,WA,000,03,3543,12,0,0,0,0,0,12,0,0,12
452,150,530330104022,1500000US530330104022,Block Group 2,2,PLST,WA,000,03,3544,40,0,0,0,0,0,40,40,0,0
453,150,530330104023,1500000US530330104023,Block Group 3,3,PLST,WA,000,03,3545,0,0,0,0,0,0,0,0,0,0
454,150,530330104024,1500000US530330104024,Block Group 4,4,PLST,WA,000,03,3546,5,0,0,0,0,0,5,0,0,5
455,150,530330105011,1500000US530330105011,Block Group 1,1,PLST,WA,000,03,3547,0,0,0,0,0,0,0,0,0,0
456,150,530330105012,1500000US530330105012,Block Group 2,2,PLST,WA,000,03,3548,175,175,0,0,175,0,0,0,0,0
457,150,530330105013,1500000US530330105013,Block Group 3,3,PLST,WA,000,03,3549,0,0,0,0,0,0,0,0,0,0
458,150,530330105021,1500000US530330105021,Block Group 1,1,PLST,WA,000,03,3550,0,0,0,0,0,0,0,0,0,0
459,150,530330105022,1500000US530330105022,Block Group 2,2,PLST,WA,000,03,3551,0,0,0,0,0,0,0,0,0,0
460,150,530330105023,1500000US530330105023,Block Group 3,3,PLST,WA,000,03,3552,0,0,0,0,0,0,0,0,0,0
461,150,530330105024,1500000US530330105024,Block Group 4,4,PLST,WA,000,03,3553,60,60,0,0,60,0,0,0,0,0
462,150,530330106011,1500000US530330106011,Block Group 1,1,PLST,WA,000,03,3554,15,0,0,0,0,0,15,0,0,15
463,150,530330106012,1500000US530330106012,Block Group 2,2,PLST,WA,000,03,3555,0,0,0,0,0,0,0,0,0,0
464,150,530330106013,1500000US530330106013,Block Group 3,3,PLST,WA,000,03,3556,0,0,0,0,0,0,0,0,0,0
465,150,530330106021,1500000US530330106021,Block Group 1,1,PLST,WA,000,03,3557,19,0,0,0,0,0,19,0,0,19
466,150,530330106022,1500000US530330106022,Block Group 2,2,PLST,WA,000,03,3558,0,0,0,0,0,0,0,0,0,0
467,150,530330106023,1500000US530330106023,Block Group 3,3,PLST,WA,000,03,3559,0,0,0,0,0,0,0,0,0,0
468,150,530330107011,1500000US530330107011,Block Group 1,1,PLST,WA,000,03,3560,46,46,0,0,0,46,0,0,0,0
469,150,530330107012,1500000US530330107012,Block Group 2,2,PLST,WA,000,03,3561,0,0,0,0,0,0,0,0,0,0
470,150,530330107013,1500000US530330107013,Block Group 3,3,PLST,WA,000,03,3562,57,0,0,0,0,0,57,0,0,57
471,150,530330107021,1500000US530330107021,Block Group 1,1,PLST,WA,000,03,3563,0,0,0,0,0,0,0,0,0,0
472,150,530330107022,1500000US530330107022,Block Group 2,2,PLST,WA,000,03,3564,7,0,0,0,0,0,7,0,0,7
473,150,530330107023,1500000US530330107023,Block Group 3,3,PLST,WA,000,03,3565,0,0,0,0,0,0,0,0,0,0
474,150,530330108001,1500000US530330108001,Block Group 1,1,PLST,WA,000,03,3566,41,6,0,0,6,0,35,0,0,35
475,150,530330108002,1500000US530330108002,Block Group 2,2,PLST,WA,000,03,3567,0,0,0,0,0,0,0,0,0,0
476,150,530330108003,1500000US530330108003,Block Group 3,3,PLST,WA,000,03,3568,0,0,0,0,0,0,0,0,0,0
477,150,530330109001,1500000US530330109001,Block Group 1,1,PLST,WA,000,03,3569,18,0,0,0,0,0,18,0,0,18
478,150,530330109002,1500000US530330109002,Block Group 2,2,PLST,WA,000,03,3570,23,0,0,0,0,0,23,0,0,23
479,150,530330110011,1500000US530330110011,Block Group 1,1,PLST,WA,000,03,3571,0,0,0,0,0,0,0,0,0,0
480,150,530330110012,1500000US530330110012,Block Group 2,2,PLST,WA,000,03,3572,53,9,0,9,0,0,44,0,0,44
481,150,530330110013,1500000US530330110013,Block Group 3,3,PLST,WA,000,03,3573,0,0,0,0,0,0,0,0,0,0
482,150,530330110021,1500000US530330110021,Block Group 1,1,PLST,WA,000,03,3574,0,0,0,0,0,0,0,0,0,0
483,150,530330110022,1500000US530330110022,Block Group 2,2,PLST,WA,000,03,3575,0,0,0,0,0,0,0,0,0,0
484,150,530330110023,1500000US530330110023,Block Group 3,3,PLST,WA,000,03,3576,0,0,0,0,0,0,0,0,0,0
485,150,530330111011,1500000US530330111011,Block Group 1,1,PLST,WA,000,03,3577,10,0,0,0,0,0,10,0,0,10
486,150,530330111012,1500000US530330111012,Block Group 2,2,PLST,WA,000,03,3578,0,0,0,0,0,0,0,0,0,0
487,150,530330111013,1500000US530330111013,Block Group 3,3,PLST,WA,000,03,3579,5,0,0,0,0,0,5,0,0,5
488,150,530330111014,1500000US530330111014,Block Group 4,4,PLST,WA,000,03,3580,0,0,0,0,0,0,0,0,0,0
489,150,530330111021,1500000US530330111021,Block Group 1,1,PLST,WA,000,03,3581,133,133,0,0,133,0,0,0,0,0
490,150,530330111022,1500000US530330111022,Block Group 2,2,PLST,WA,000,03,3582,0,0,0,0,0,0,0,0,0,0
491,150,530330111023,1500000US530330111023,Block Group 3,3,PLST,WA,000,03,3583,12,0,0,0,0,0,12,0,0,12
492,150,530330111024,1500000US530330111024,Block Group 4,4,PLST,WA,000,03,3584,0,0,0,0,0,0,0,0,0,0
493,150,530330112001,1500000US530330112001,Block Group 1,1,PLST,WA,000,03,3585,25,0,0,0,0,0,25,0,0,25
494,150,530330112002,1500000US530330112002,Block Group 2,2,PLST,WA,000,03,3586,43,0,0,0,0,0,43,0,0,43
495,150,530330112003,1500000US530330112003,Block Group 3,3,PLST,WA,000,03,3587,25,25,0,0,25,0,0,0,0,0
496,150,530330113001,1500000US530330113001,Block Group 1,1,PLST,WA,000,03,3588,33,0,0,0,0,0,33,0,0,33
497,150,530330113002,1500000US530330113002,Block Group 2,2,PLST,WA,000,03,3589,16,0,0,0,0,0,16,0,0,16
498,150,530330113003,1500000US530330113003,Block Group 3,3,PLST,WA,000,03,3590,6,0,0,0,0,0,6,0,0,6
499,150,530330113004,1500000US530330113004,Block Group 4,4,PLST,WA,000,03,3591,0,0,0,0,0,0,0,0,0,0
500,150,530330113005,1500000US530330113005,Block Group 5,5,PLST,WA,000,03,3592,10,0,0,0,0,0,10,0,0,10
501,150,530330114011,1500000US530330114011,Block Group 1,1,PLST,WA,000,03,3593,0,0,0,0,0,0,0,0,0,0
502,150,530330114012,1500000US530330114012,Block Group 2,2,PLST,WA,000,03,3594,0,0,0,0,0,0,0,0,0,0
503,150,530330114013,1500000US530330114013,Block Group 3,3,PLST,WA,000,03,3595,0,0,0,0,0,0,0,0,0,0
504,150,530330114021,1500000US530330114021,Block Group 1,1,PLST,WA,000,03,3596,1,0,0,0,0,0,1,0,0,1
505,150,530330114022,1500000US530330114022,Block Group 2,2,PLST,WA,000,03,3597,10,0,0,0,0,0,10,0,0,10
506,150,530330114023,1500000US530330114023,Block Group 3,3,PLST,WA,000,03,3598,10,0,0,0,0,0,10,0,0,10
507,150,530330115001,1500000US530330115001,Block Group 1,1,PLST,WA,000,03,3599,0,0,0,0,0,0,0,0,0,0
508,150,530330115002,1500000US530330115002,Block Group 2,2,PLST,WA,000,03,3600,0,0,0,0,0,0,0,0,0,0
509,150,530330115003,1500000US530330115003,Block Group 3,3,PLST,WA,000,03,3601,0,0,0,0,0,0,0,0,0,0
510,150,530330116011,1500000US530330116011,Block Group 1,1,PLST,WA,000,03,3602,0,0,0,0,0,0,0,0,0,0
511,150,530330116012,1500000US530330116012,Block Group 2,2,PLST,WA,000,03,3603,14,0,0,0,0,0,14,0,0,14
512,150,530330116021,1500000US530330116021,Block Group 1,1,PLST,WA,000,03,3604,0,0,0,0,0,0,0,0,0,0
513,150,530330116022,1500000US530330116022,Block Group 2,2,PLST,WA,000,03,3605,0,0,0,0,0,0,0,0,0,0
514,150,530330116023,1500000US530330116023,Block Group 3,3,PLST,WA,000,03,3606,53,53,0,0,53,0,0,0,0,0
515,150,530330117001,1500000US530330117001,Block Group 1,1,PLST,WA,000,03,3607,12,0,0,0,0,0,12,0,0,12
516,150,530330117002,1500000US530330117002,Block Group 2,2,PLST,WA,000,03,3608,0,0,0,0,0,0,0,0,0,0
517,150,530330117003,1500000US530330117003,Block Group 3,3,PLST,WA,000,03,3609,2,0,0,0,0,0,2,0,0,2
518,150,530330117004,1500000US530330117004,Block Group 4,4,PLST,WA,000,03,3610,0,0,0,0,0,0,0,0,0,0
519,150,530330118011,1500000US530330118011,Block Group 1,1,PLST,WA,000,03,3611,0,0,0,0,0,0,0,0,0,0
520,150,530330118012,1500000US530330118012,Block Group 2,2,PLST,WA,000,03,3612,0,0,0,0,0,0,0,0,0,0
